Distanța (km),Nivel trafic,Ora livrării,Ziua săptămânii,Tip vehicul,Grad de încărcare,Durata estimată (min)
24.34,2.0,17.77,Marți,Camion,0.46,51
6.31,3.0,20.46,Joi,Dubiță,0.73,20
6.7,1.0,20.53,Marți,Scuter,0.92,15
34.44,,11.93,Marți,Scuter,0.18,104
21.8,3.0,21.29,Miercuri,Bicicletă,0.88,150
10.43,4.0,7.37,Marți,Scuter,0.81,50
24.83,4.0,12.65,Sâmbătă,Bicicletă,0.38,212
3.68,4.0,20.44,Sâmbătă,Bicicletă,0.42,29
29.31,2.0,11.12,Miercuri,Bicicletă,0.14,142
13.82,2.0,11.1,Luni,Camion,0.11,22
39.98,5.0,11.54,Duminică,Camion,0.53,200
15.86,2.0,16.18,Luni,Scuter,0.19,32
23.03,5.0,13.57,Sâmbătă,Camion,0.27,111
1.08,4.0,17.9,Duminică,Bicicletă,0.86,14
4.09,3.0,20.42,Miercuri,Bicicletă,0.61,25
19.93,5.0,17.11,Luni,Camion,0.67,111
24.26,1.0,10.07,Duminică,Scuter,0.27,51
30.2,3.0,20.99,Duminică,Bicicletă,0.85,204
14.94,4.0,10.97,Joi,Camion,0.88,51
34.9,3.0,9.25,Luni,Dubiță,0.57,78
43.08,5.0,8.35,Miercuri,Scuter,0.92,308
39.1,1.0,15.45,Duminică,Scuter,0.86,90
2.46,3.0,8.71,Sâmbătă,Scuter,0.76,5
24.29,3.0,9.08,Joi,Dubiță,0.76,50
5.69,4.0,11.5,Marți,Bicicletă,0.19,44
12.48,2.0,11.22,Marți,Scuter,0.34,29
49.34,3.0,16.06,Marți,Camion,0.16,109
7.55,4.0,19.25,Sâmbătă,Scuter,0.11,27
25.19,2.0,18.42,Duminică,Camion,0.24,51
31.1,4.0,10.94,Miercuri,Scuter,0.89,155
35.27,3.0,10.68,Marți,Camion,0.32,88
28.2,,21.49,Luni,Camion,0.97,108
0.98,4.0,7.12,Marți,Camion,0.64,8
16.66,2.0,20.2,Duminică,Dubiță,0.31,32
26.13,3.0,10.0,Vineri,Dubiță,0.55,56
4.85,5.0,21.21,Sâmbătă,Dubiță,0.3,21
17.86,3.0,12.13,Vineri,Bicicletă,0.99,126
2.14,5.0,13.61,Marți,Camion,0.86,10
4.39,3.0,17.61,Duminică,Bicicletă,0.12,27
20.15,2.0,15.82,Marți,Dubiță,0.95,42
7.07,3.0,11.77,Vineri,Camion,0.75,20
28.59,5.0,15.31,Duminică,Bicicletă,0.17,354
34.63,3.0,17.96,Sâmbătă,Dubiță,0.7,79
40.13,5.0,7.64,Sâmbătă,Bicicletă,0.68,549
10.41,5.0,7.17,Marți,Bicicletă,0.3,136
8.79,3.0,13.87,Sâmbătă,Dubiță,0.78,13
5.68,1.0,8.98,Joi,Camion,0.18,5
32.0,4.0,16.97,Duminică,Scuter,0.54,147
35.47,3.0,10.21,Duminică,Scuter,0.11,108
2.06,4.0,13.49,Sâmbătă,Bicicletă,0.97,18
46.84,3.0,9.97,Duminică,Bicicletă,0.78,324
3.07,3.0,15.23,Vineri,Bicicletă,0.24,18
27.29,4.0,8.74,Miercuri,Camion,0.41,91
35.6,3.0,7.35,Vineri,Bicicletă,0.24,218
43.61,3.0,7.77,Luni,Bicicletă,0.79,303
35.85,3.0,21.31,Joi,Bicicletă,0.15,223
40.19,3.0,9.13,Miercuri,Dubiță,0.86,96
17.3,3.0,17.63,Marți,Scuter,0.95,63
40.83,4.0,8.02,Duminică,Scuter,0.71,189
4.47,3.0,8.62,Luni,Dubiță,0.29,7
44.79,3.0,14.63,Luni,Camion,0.42,105
27.61,4.0,13.97,Joi,Camion,0.53,104
40.96,2.0,21.27,Miercuri,Camion,0.64,82
22.89,2.0,21.17,Luni,Dubiță,0.7,41
32.36,5.0,18.69,Miercuri,Scuter,0.6,221
26.56,4.0,16.03,Miercuri,Scuter,0.42,123
36.71,3.0,13.82,Sâmbătă,Bicicletă,0.9,257
4.54,4.0,12.34,Luni,Scuter,0.17,14
3.49,1.0,21.21,Miercuri,Camion,0.52,5
12.73,4.0,16.04,Joi,Camion,0.8,52
8.4,3.0,15.69,Luni,Bicicletă,0.15,47
43.65,3.0,10.48,Joi,Bicicletă,0.73,300
11.35,3.0,7.7,Joi,Scuter,0.84,35
48.81,1.0,21.18,Miercuri,Bicicletă,0.69,215
17.18,,11.71,Miercuri,Bicicletă,0.11,83
9.51,5.0,13.64,Sâmbătă,Dubiță,0.26,35
39.59,3.0,8.72,Duminică,Scuter,0.41,125
33.11,3.0,19.55,Sâmbătă,Camion,0.31,89
25.16,1.0,7.41,Luni,Dubiță,0.97,42
27.99,,19.51,Sâmbătă,Camion,0.69,52
36.1,4.0,9.1,Marți,Bicicletă,0.37,314
11.81,3.0,20.3,Luni,Bicicletă,0.94,84
49.82,3.0,17.95,Joi,Camion,0.77,127
48.75,2.0,9.47,Sâmbătă,Dubiță,0.36,85
32.69,4.0,15.49,Sâmbătă,Dubiță,0.44,96
10.38,2.0,11.69,Duminică,Dubiță,0.28,15
34.17,2.0,9.67,Sâmbătă,Bicicletă,0.97,196
4.07,3.0,19.89,Miercuri,Scuter,0.57,10
2.02,2.0,13.05,Joi,Bicicletă,0.91,11
13.26,2.0,12.98,Sâmbătă,Camion,0.41,24
23.4,4.0,9.55,Vineri,Dubiță,0.87,67
43.48,4.0,12.75,Vineri,Scuter,0.15,167
36.49,4.0,20.07,Joi,Dubiță,0.98,112
37.26,3.0,12.45,Sâmbătă,Bicicletă,0.92,274
21.56,1.0,21.27,Duminică,Scuter,0.43,45
17.62,2.0,21.19,Marți,Scuter,0.8,53
18.87,5.0,9.17,Duminică,Bicicletă,0.78,251
49.39,3.0,9.66,Marți,Dubiță,0.91,112
2.49,4.0,19.94,Luni,Dubiță,0.38,5
43.42,1.0,12.89,Luni,Dubiță,0.52,63
29.14,3.0,7.07,Duminică,Bicicletă,0.88,218
22.21,1.0,11.11,Sâmbătă,Camion,0.8,41
36.4,3.0,15.96,Duminică,Camion,0.45,98
24.59,5.0,18.99,Luni,Dubiță,0.86,114
43.73,5.0,9.0,Miercuri,Scuter,0.14,277
45.08,3.0,8.66,Marți,Camion,0.8,128
21.38,3.0,20.83,Joi,Dubiță,0.29,45
14.2,5.0,18.27,Duminică,Camion,0.36,66
29.82,4.0,15.85,Sâmbătă,Dubiță,0.54,82
45.66,1.0,18.54,Sâmbătă,Camion,0.5,74
10.93,3.0,13.43,Vineri,Camion,0.57,28
31.34,2.0,18.38,Marți,Scuter,0.59,94
31.76,3.0,12.58,Marți,Scuter,0.4,96
36.79,3.0,10.66,Marți,Camion,0.26,87
7.01,3.0,17.94,Duminică,Dubiță,0.79,7
35.93,3.0,13.3,Luni,Scuter,0.46,116
45.5,2.0,21.72,Miercuri,Bicicletă,0.56,244
9.39,3.0,12.24,Duminică,Scuter,0.68,35
12.26,,20.83,Joi,Camion,0.92,46
48.58,4.0,20.99,Luni,Camion,0.74,169
9.46,3.0,10.63,Duminică,Bicicletă,0.14,61
42.79,5.0,18.97,Miercuri,Scuter,0.85,301
24.87,5.0,13.5,Marți,Camion,0.99,129
12.74,2.0,20.76,Miercuri,Bicicletă,0.53,58
43.6,1.0,13.75,Luni,Bicicletă,0.97,206
22.54,4.0,18.16,Duminică,Dubiță,0.59,67
25.98,4.0,14.0,Marți,Scuter,0.51,121
18.28,5.0,10.42,Duminică,Scuter,0.4,118
29.85,5.0,9.99,Luni,Scuter,0.69,203
8.59,4.0,13.38,Joi,Camion,0.31,29
19.86,3.0,18.33,Marți,Bicicletă,0.19,122
48.49,1.0,16.08,Miercuri,Dubiță,0.12,70
13.28,2.0,17.33,Luni,Scuter,0.36,44
33.01,3.0,11.23,Vineri,Dubiță,0.46,83
16.6,4.0,14.22,Miercuri,Dubiță,0.6,50
38.79,3.0,7.67,Miercuri,Bicicletă,0.36,251
6.98,,19.26,Marți,Scuter,0.99,41
48.51,,21.85,Duminică,Dubiță,0.36,82
22.96,3.0,13.1,Sâmbătă,Scuter,0.5,79
12.18,1.0,7.16,Miercuri,Scuter,0.19,20
4.14,3.0,9.55,Luni,Scuter,0.33,12
8.9,4.0,16.79,Vineri,Dubiță,0.14,30
26.23,4.0,16.18,Joi,Bicicletă,0.6,231
17.18,5.0,18.82,Vineri,Bicicletă,0.78,238
41.53,2.0,10.81,Luni,Dubiță,0.28,62
21.83,3.0,18.45,Marți,Camion,0.43,63
12.81,3.0,17.32,Luni,Scuter,0.11,46
31.05,3.0,11.84,Sâmbătă,Scuter,0.86,110
35.49,,15.18,Sâmbătă,Bicicletă,0.8,497
8.77,4.0,9.21,Sâmbătă,Dubiță,0.16,26
8.8,5.0,13.79,Miercuri,Dubiță,0.43,45
2.32,2.0,20.22,Marți,Camion,0.96,5
36.95,5.0,13.32,Duminică,Camion,0.45,185
33.36,1.0,19.59,Sâmbătă,Bicicletă,0.57,154
23.99,5.0,15.85,Duminică,Camion,0.42,123
42.29,3.0,9.88,Joi,Camion,0.64,96
40.38,3.0,15.72,Joi,Dubiță,0.98,94
29.48,3.0,14.59,Duminică,Dubiță,1.0,66
43.48,5.0,12.98,Luni,Camion,0.8,228
10.69,1.0,8.79,Sâmbătă,Bicicletă,0.46,37
6.04,,13.25,Miercuri,Camion,0.54,5
13.85,5.0,8.09,Joi,Bicicletă,0.42,191
3.33,3.0,8.48,Vineri,Camion,0.99,12
26.79,2.0,13.24,Marți,Dubiță,0.74,50
46.86,3.0,11.58,Vineri,Dubiță,0.5,105
2.45,3.0,20.88,Duminică,Bicicletă,0.11,16
6.54,5.0,12.64,Joi,Camion,0.57,38
22.88,4.0,18.37,Joi,Camion,0.99,79
46.73,3.0,14.95,Luni,Bicicletă,0.57,313
16.15,5.0,17.56,Luni,Camion,0.26,78
25.61,3.0,10.9,Sâmbătă,Scuter,0.12,73
2.56,1.0,21.13,Duminică,Dubiță,0.42,10
7.84,2.0,14.95,Marți,Dubiță,0.93,13
49.34,3.0,19.47,Sâmbătă,Bicicletă,1.0,360
48.27,2.0,12.48,Luni,Camion,0.95,104
0.74,5.0,8.5,Miercuri,Bicicletă,0.76,18
47.61,4.0,17.11,Marți,Scuter,0.6,208
32.14,2.0,7.12,Miercuri,Camion,0.63,60
43.46,3.0,14.13,Sâmbătă,Scuter,0.59,141
23.01,4.0,9.89,Luni,Bicicletă,0.74,212
26.02,5.0,16.41,Marți,Dubiță,0.48,122
24.7,5.0,21.69,Sâmbătă,Scuter,0.7,177
33.51,3.0,13.97,Joi,Camion,0.21,67
7.41,4.0,19.26,Sâmbătă,Bicicletă,0.34,65
1.98,3.0,14.62,Duminică,Bicicletă,0.85,5
15.74,3.0,14.44,Vineri,Bicicletă,0.91,116
35.38,2.0,20.96,Joi,Dubiță,0.59,69
10.49,2.0,20.35,Miercuri,Bicicletă,0.13,51
33.83,,18.79,Joi,Bicicletă,0.93,241
48.51,2.0,11.44,Sâmbătă,Dubiță,0.73,89
5.15,1.0,15.18,Joi,Bicicletă,0.47,19
33.79,4.0,10.36,Vineri,Bicicletă,0.64,307
22.47,1.0,13.66,Duminică,Scuter,0.49,48
43.47,3.0,14.26,Sâmbătă,Bicicletă,0.52,293
9.27,3.0,19.47,Vineri,Dubiță,0.9,21
34.78,5.0,20.44,Joi,Scuter,0.24,214
41.99,3.0,13.22,Vineri,Bicicletă,0.19,254
47.26,,7.27,Joi,Dubiță,0.1,55
34.32,3.0,19.93,Marți,Camion,0.38,90
25.11,4.0,9.61,Joi,Bicicletă,0.23,208
31.08,5.0,16.33,Luni,Camion,0.3,150
43.51,,7.37,Vineri,Scuter,0.11,142
28.75,3.0,12.99,Duminică,Dubiță,0.3,58
2.0,,21.79,Vineri,Scuter,0.4,10
46.58,2.0,8.51,Miercuri,Camion,0.13,85
34.63,4.0,13.36,Duminică,Camion,0.65,118
33.99,3.0,11.61,Duminică,Camion,0.61,95
11.18,1.0,20.58,Miercuri,Dubiță,0.19,23
33.11,3.0,20.04,Luni,Camion,0.64,87
20.0,2.0,10.57,Vineri,Camion,1.0,50
32.74,4.0,8.22,Duminică,Dubiță,0.95,103
5.78,5.0,16.41,Vineri,Camion,0.1,28
33.06,2.0,12.05,Duminică,Bicicletă,0.82,183
49.97,4.0,17.08,Miercuri,Camion,0.42,156
2.89,1.0,7.48,Miercuri,Dubiță,0.16,10
48.87,3.0,9.0,Joi,Camion,0.37,121
20.64,1.0,17.3,Sâmbătă,Dubiță,0.39,30
43.6,5.0,10.19,Vineri,Camion,0.57,219
39.23,4.0,19.86,Vineri,Bicicletă,0.69,350
28.57,4.0,7.88,Duminică,Dubiță,0.77,83
37.05,4.0,10.23,Joi,Dubiță,0.32,107
43.99,4.0,21.98,Vineri,Dubiță,0.39,124
20.5,5.0,13.5,Duminică,Dubiță,0.38,87
16.69,4.0,17.54,Luni,Camion,0.43,54
33.55,5.0,9.74,Miercuri,Camion,1.0,178
40.49,3.0,16.15,Miercuri,Bicicletă,0.8,277
38.23,2.0,17.89,Sâmbătă,Bicicletă,0.98,211
39.99,3.0,11.72,Miercuri,Camion,0.72,102
22.06,2.0,19.43,Marți,Scuter,0.47,61
40.98,3.0,16.05,Luni,Dubiță,0.45,81
6.45,3.0,12.84,Luni,Camion,0.54,16
27.45,4.0,15.36,Joi,Bicicletă,0.48,242
0.79,1.0,15.65,Marți,Dubiță,0.85,5
16.57,2.0,9.48,Vineri,Bicicletă,0.52,95
18.64,3.0,13.04,Sâmbătă,Scuter,0.37,58
20.11,5.0,12.15,Luni,Dubiță,0.8,93
34.93,3.0,13.01,Marți,Scuter,0.87,122
19.73,,18.42,Marți,Scuter,0.48,56
22.71,4.0,14.24,Duminică,Scuter,0.7,109
12.26,4.0,21.1,Luni,Camion,0.15,33
18.98,2.0,11.41,Duminică,Bicicletă,0.58,100
11.75,3.0,13.24,Joi,Dubiță,0.14,27
4.12,2.0,18.8,Marți,Camion,0.13,15
30.37,5.0,15.19,Miercuri,Bicicletă,0.65,406
33.58,2.0,15.21,Marți,Camion,0.37,63
31.16,3.0,7.8,Vineri,Bicicletă,0.77,223
23.44,1.0,12.98,Luni,Dubiță,0.91,39
19.3,2.0,11.06,Vineri,Dubiță,0.23,36
43.24,4.0,21.99,Joi,Dubiță,0.75,127
26.19,2.0,11.63,Sâmbătă,Dubiță,0.56,45
24.22,1.0,20.27,Miercuri,Bicicletă,0.2,100
1.77,3.0,17.14,Luni,Camion,0.69,5
17.39,1.0,12.11,Marți,Dubiță,0.65,18
19.32,1.0,15.15,Miercuri,Dubiță,0.56,26
20.24,4.0,19.61,Marți,Dubiță,0.93,71
29.22,4.0,20.25,Joi,Scuter,0.57,131
26.91,5.0,9.41,Sâmbătă,Dubiță,0.99,136
30.59,5.0,12.09,Luni,Dubiță,0.56,137
38.36,4.0,12.03,Joi,Bicicletă,0.2,315
40.74,1.0,7.63,Joi,Scuter,0.52,96
36.05,4.0,15.97,Sâmbătă,Bicicletă,0.26,304
47.8,4.0,19.82,Joi,Camion,0.64,167
1.4,4.0,12.72,Joi,Scuter,0.72,5
10.19,3.0,18.1,Marți,Bicicletă,0.52,73
0.87,2.0,16.42,Duminică,Bicicletă,0.19,10
32.55,4.0,12.63,Vineri,Camion,0.52,109
44.95,4.0,9.12,Marți,Camion,0.17,135
12.55,5.0,17.64,Sâmbătă,Dubiță,0.71,57
46.39,,19.82,Miercuri,Dubiță,0.81,89
3.48,2.0,17.29,Sâmbătă,Scuter,0.97,11
46.75,2.0,7.27,Sâmbătă,Scuter,0.23,120
17.91,4.0,10.24,Sâmbătă,Camion,0.58,65
5.52,2.0,8.04,Sâmbătă,Scuter,0.61,12
24.55,1.0,15.56,Joi,Dubiță,0.93,33
13.21,5.0,18.35,Sâmbătă,Camion,0.66,67
14.6,1.0,8.66,Miercuri,Bicicletă,0.23,59
15.71,4.0,19.58,Sâmbătă,Camion,0.49,56
40.25,3.0,15.33,Marți,Scuter,0.69,132
27.19,4.0,17.35,Joi,Dubiță,0.73,88
15.91,3.0,21.57,Marți,Dubiță,0.88,44
30.71,5.0,8.26,Joi,Bicicletă,0.26,388
35.95,5.0,20.52,Marți,Bicicletă,0.96,515
13.99,1.0,8.89,Luni,Camion,0.15,18
20.97,1.0,12.89,Vineri,Dubiță,0.99,31
6.53,2.0,19.77,Vineri,Bicicletă,0.87,35
9.47,4.0,20.59,Joi,Bicicletă,0.69,93
34.22,5.0,14.6,Luni,Camion,0.76,177
9.48,3.0,15.91,Miercuri,Camion,0.17,15
26.5,4.0,17.62,Luni,Dubiță,0.14,74
35.6,2.0,19.49,Duminică,Scuter,0.19,93
5.79,,8.82,Joi,Scuter,0.18,24
28.58,5.0,19.15,Luni,Dubiță,0.59,135
13.2,2.0,14.22,Miercuri,Scuter,0.29,37
48.16,3.0,13.76,Joi,Dubiță,0.87,108
24.44,1.0,13.36,Vineri,Dubiță,0.5,33
40.4,3.0,14.64,Sâmbătă,Bicicletă,0.73,279
27.74,3.0,21.18,Luni,Scuter,0.69,86
2.65,2.0,15.22,Vineri,Dubiță,0.39,6
31.84,3.0,21.3,Vineri,Scuter,0.32,93
47.59,3.0,9.7,Marți,Scuter,0.41,160
30.28,3.0,17.86,Miercuri,Camion,0.82,84
41.05,3.0,19.18,Duminică,Scuter,0.63,141
44.27,1.0,17.19,Sâmbătă,Dubiță,0.33,60
11.79,4.0,16.1,Luni,Bicicletă,0.84,111
11.0,4.0,15.47,Vineri,Scuter,0.15,43
30.74,3.0,19.91,Vineri,Dubiță,0.73,65
20.85,1.0,19.32,Duminică,Camion,0.5,33
42.07,4.0,8.83,Miercuri,Scuter,0.76,197
45.05,5.0,19.73,Sâmbătă,Bicicletă,0.93,641
17.99,2.0,13.21,Sâmbătă,Scuter,0.78,57
12.23,3.0,10.81,Duminică,Dubiță,0.5,31
39.14,2.0,20.05,Vineri,Scuter,0.24,102
14.1,3.0,13.48,Vineri,Scuter,0.83,41
41.22,2.0,19.13,Vineri,Camion,0.51,80
21.48,3.0,10.95,Vineri,Scuter,0.17,61
33.54,4.0,7.06,Marți,Bicicletă,0.75,308
5.23,3.0,14.43,Marți,Scuter,0.36,13
31.38,,8.5,Duminică,Camion,0.14,71
22.86,3.0,18.32,Sâmbătă,Dubiță,0.91,59
29.54,3.0,11.14,Joi,Scuter,0.53,100
8.82,1.0,13.65,Luni,Scuter,0.35,24
36.98,1.0,8.31,Miercuri,Camion,0.74,56
43.21,5.0,11.3,Joi,Camion,0.9,230
11.23,1.0,18.72,Marți,Camion,0.1,22
5.24,4.0,9.27,Marți,Scuter,0.72,32
1.67,5.0,16.71,Marți,Bicicletă,0.79,15
32.28,2.0,20.76,Joi,Camion,0.29,60
30.55,3.0,17.2,Marți,Dubiță,0.54,73
27.56,3.0,19.17,Joi,Scuter,0.18,85
11.98,5.0,8.63,Marți,Dubiță,0.77,51
19.85,5.0,10.76,Vineri,Dubiță,0.86,85
29.93,4.0,20.42,Vineri,Bicicletă,0.2,244
25.09,1.0,17.73,Luni,Dubiță,0.83,31
49.4,4.0,16.59,Marți,Camion,0.79,172
7.25,3.0,16.96,Duminică,Camion,0.41,22
34.91,3.0,13.21,Luni,Scuter,0.72,114
20.51,1.0,7.67,Joi,Bicicletă,0.1,85
21.7,2.0,18.77,Luni,Bicicletă,0.94,128
36.02,4.0,17.18,Marți,Dubiță,0.6,108
34.78,3.0,14.09,Joi,Bicicletă,0.66,228
49.57,3.0,20.5,Duminică,Dubiță,0.7,115
6.86,3.0,12.04,Joi,Dubiță,0.61,15
5.65,5.0,11.41,Vineri,Bicicletă,0.87,79
36.35,4.0,20.09,Joi,Scuter,0.65,162
29.13,2.0,18.95,Joi,Dubiță,0.92,56
14.07,2.0,14.72,Luni,Camion,0.62,31
4.43,2.0,8.96,Duminică,Camion,0.25,20
4.74,5.0,10.23,Sâmbătă,Bicicletă,0.92,68
44.76,3.0,16.84,Joi,Bicicletă,0.71,314
10.0,3.0,12.78,Miercuri,Dubiță,0.73,25
16.51,3.0,19.55,Sâmbătă,Dubiță,0.99,39
11.72,3.0,21.25,Vineri,Camion,0.17,28
18.07,4.0,19.08,Duminică,Dubiță,0.49,47
3.94,3.0,12.66,Duminică,Camion,0.32,11
26.19,2.0,18.83,Vineri,Dubiță,0.67,38
3.85,2.0,12.27,Joi,Scuter,0.83,6
40.12,3.0,9.51,Luni,Scuter,0.97,144
12.07,5.0,7.5,Sâmbătă,Camion,0.51,66
27.23,3.0,12.79,Vineri,Scuter,0.81,102
44.06,5.0,20.55,Vineri,Scuter,0.93,312
32.72,4.0,10.58,Miercuri,Bicicletă,0.71,300
26.88,2.0,10.1,Joi,Dubiță,0.32,51
16.55,1.0,21.55,Sâmbătă,Bicicletă,0.65,68
16.98,,7.38,Vineri,Camion,0.97,39
33.64,,18.79,Duminică,Bicicletă,0.99,318
49.71,2.0,11.82,Vineri,Camion,0.68,101
33.26,3.0,7.56,Vineri,Scuter,0.9,115
28.11,3.0,20.77,Vineri,Bicicletă,0.28,180
36.67,4.0,9.09,Luni,Scuter,0.32,159
23.53,2.0,15.28,Marți,Dubiță,0.96,49
3.48,3.0,11.11,Miercuri,Scuter,0.22,13
28.33,3.0,7.98,Duminică,Dubiță,0.27,61
47.9,3.0,7.75,Luni,Scuter,0.48,167
9.18,4.0,8.73,Miercuri,Bicicletă,0.63,75
34.66,2.0,8.07,Vineri,Bicicletă,0.64,196
10.45,4.0,18.41,Miercuri,Scuter,0.36,43
27.02,4.0,14.28,Joi,Camion,0.93,99
5.29,3.0,12.14,Joi,Camion,0.92,12
22.79,4.0,13.28,Marți,Dubiță,0.45,63
37.93,3.0,20.93,Marți,Dubiță,0.49,86
17.7,2.0,20.66,Miercuri,Scuter,0.73,54
33.41,4.0,17.74,Luni,Bicicletă,0.7,307
39.87,3.0,20.27,Luni,Dubiță,0.44,84
46.4,4.0,11.79,Vineri,Scuter,0.47,221
12.11,3.0,12.72,Luni,Dubiță,0.41,32
20.27,5.0,16.21,Marți,Bicicletă,0.31,263
8.04,3.0,16.35,Luni,Dubiță,0.51,16
49.63,1.0,14.23,Vineri,Scuter,0.72,110
46.39,3.0,13.01,Joi,Dubiță,0.77,106
27.23,4.0,21.79,Luni,Camion,0.8,100
42.18,4.0,19.32,Luni,Dubiță,0.44,117
26.29,3.0,13.52,Marți,Bicicletă,0.79,177
31.37,5.0,17.91,Miercuri,Bicicletă,0.11,387
4.91,2.0,11.04,Joi,Bicicletă,0.53,28
37.89,3.0,8.5,Miercuri,Bicicletă,0.81,260
6.82,5.0,12.29,Vineri,Scuter,0.67,41
41.39,5.0,13.04,Vineri,Dubiță,0.53,190
39.21,4.0,7.25,Miercuri,Dubiță,0.68,121
35.58,5.0,19.22,Marți,Dubiță,0.92,162
2.29,1.0,12.39,Sâmbătă,Dubiță,0.61,5
15.5,5.0,15.71,Marți,Scuter,0.82,106
13.52,3.0,8.11,Sâmbătă,Bicicletă,0.98,101
18.33,2.0,9.62,Sâmbătă,Dubiță,0.74,37
4.84,2.0,20.35,Marți,Dubiță,0.62,14
46.88,3.0,16.13,Sâmbătă,Bicicletă,0.13,281
27.91,2.0,21.25,Sâmbătă,Camion,0.44,56
15.62,3.0,21.98,Sâmbătă,Camion,0.61,47
20.15,2.0,12.58,Joi,Bicicletă,0.82,119
22.64,2.0,11.48,Vineri,Dubiță,0.49,42
30.23,3.0,19.88,Sâmbătă,Bicicletă,0.96,228
26.03,3.0,21.98,Vineri,Dubiță,0.34,59
46.01,3.0,16.44,Duminică,Dubiță,0.77,111
25.1,4.0,18.93,Vineri,Camion,0.48,83
49.61,5.0,18.73,Duminică,Camion,0.54,243
42.65,4.0,12.33,Joi,Dubiță,0.82,128
10.82,3.0,15.61,Vineri,Dubiță,0.37,24
46.56,4.0,19.5,Miercuri,Dubiță,0.19,128
6.26,2.0,17.32,Luni,Camion,0.57,5
40.96,2.0,7.32,Joi,Dubiță,0.58,68
19.34,3.0,12.05,Luni,Bicicletă,0.82,133
43.96,,9.17,Miercuri,Scuter,0.97,214
43.47,2.0,10.49,Marți,Scuter,0.15,107
40.39,1.0,20.58,Marți,Dubiță,0.63,60
39.61,2.0,7.55,Sâmbătă,Bicicletă,0.71,212
15.58,5.0,10.3,Marți,Dubiță,0.99,75
4.51,4.0,11.64,Joi,Bicicletă,0.95,50
20.45,2.0,16.25,Marți,Camion,0.74,43
9.09,,15.01,Joi,Camion,0.57,15
34.9,3.0,10.27,Joi,Dubiță,0.25,67
17.63,4.0,9.46,Luni,Camion,0.45,61
48.79,2.0,10.55,Marți,Dubiță,0.63,87
32.23,5.0,14.54,Vineri,Scuter,0.75,222
41.21,3.0,11.07,Duminică,Bicicletă,0.67,277
7.06,4.0,21.21,Marți,Bicicletă,0.74,67
43.17,1.0,13.96,Marți,Scuter,0.49,93
46.18,3.0,7.88,Marți,Scuter,0.75,158
24.61,3.0,17.94,Sâmbătă,Scuter,0.23,73
30.51,3.0,11.93,Vineri,Scuter,0.25,101
38.36,1.0,16.8,Vineri,Camion,0.25,59
9.15,4.0,11.19,Joi,Bicicletă,0.9,89
25.38,2.0,15.56,Vineri,Bicicletă,0.17,120
20.23,,18.58,Joi,Scuter,0.82,103
7.75,4.0,20.92,Duminică,Dubiță,0.31,28
18.69,3.0,10.92,Luni,Dubiță,0.52,32
3.87,4.0,12.02,Joi,Dubiță,0.92,8
1.78,4.0,13.96,Marți,Dubiță,0.63,8
7.19,3.0,20.91,Miercuri,Camion,0.29,11
48.17,4.0,20.52,Miercuri,Bicicletă,0.36,412
27.7,2.0,8.35,Sâmbătă,Bicicletă,0.93,160
48.31,3.0,8.98,Marți,Bicicletă,0.48,317
21.91,4.0,14.43,Joi,Dubiță,0.63,68
15.93,3.0,8.6,Marți,Scuter,0.51,49
25.55,3.0,12.18,Sâmbătă,Dubiță,0.44,44
22.26,3.0,9.23,Vineri,Bicicletă,0.3,146
5.73,,16.54,Joi,Dubiță,0.72,22
32.22,5.0,21.24,Duminică,Scuter,0.75,235
11.19,3.0,21.95,Marți,Scuter,0.35,25
31.17,4.0,12.63,Vineri,Dubiță,0.81,100
32.68,5.0,15.99,Sâmbătă,Bicicletă,0.87,451
8.03,1.0,19.84,Vineri,Camion,0.93,23
3.54,2.0,8.76,Joi,Bicicletă,0.25,20
39.15,4.0,17.34,Sâmbătă,Camion,0.37,121
23.26,4.0,13.13,Sâmbătă,Bicicletă,0.87,222
3.38,5.0,10.09,Sâmbătă,Dubiță,0.28,12
49.75,3.0,13.04,Luni,Camion,0.1,116
3.36,1.0,8.14,Sâmbătă,Bicicletă,0.88,17
34.9,3.0,17.43,Luni,Dubiță,0.39,84
49.19,2.0,10.79,Vineri,Bicicletă,0.47,267
12.34,2.0,11.67,Duminică,Scuter,0.5,30
7.54,4.0,8.82,Luni,Scuter,0.86,41
6.51,1.0,19.97,Vineri,Bicicletă,0.4,30
15.51,4.0,14.4,Luni,Dubiță,0.9,42
5.5,3.0,15.58,Vineri,Bicicletă,0.66,34
34.76,3.0,15.54,Vineri,Dubiță,0.57,89
3.58,1.0,13.16,Duminică,Camion,0.39,8
25.72,3.0,9.89,Sâmbătă,Scuter,0.32,87
49.84,1.0,18.18,Duminică,Camion,0.66,84
40.79,5.0,8.91,Duminică,Dubiță,0.5,177
30.95,4.0,8.56,Sâmbătă,Bicicletă,0.92,293
15.66,3.0,17.65,Vineri,Scuter,0.54,51
31.38,2.0,10.13,Sâmbătă,Dubiță,0.56,48
26.59,5.0,11.6,Vineri,Dubiță,0.48,112
21.59,3.0,14.13,Sâmbătă,Scuter,0.81,79
6.97,2.0,13.74,Miercuri,Bicicletă,0.48,35
44.39,3.0,17.63,Luni,Scuter,0.34,142
22.76,5.0,16.35,Duminică,Bicicletă,0.88,322
10.13,1.0,16.67,Vineri,Bicicletă,0.64,47
